# Weights_0	Weights_1	Weights_2	Weights_3
7.995423331691607904e-01	6.129879244984597353e-01	8.420822637346105921e-01	1.308803632583989129e+00
7.918459334914551562e-01	6.167568503658080736e-01	8.429678828867431806e-01	1.311294528092013634e+00
7.929171017798394283e-01	6.119195789832263532e-01	8.455937661272698858e-01	1.312076407456837845e+00
7.930688344317204930e-01	6.124336080543685279e-01	8.435114899014219958e-01	1.313316808045314588e+00
7.935907222492715185e-01	6.121906374625569747e-01	8.430790308868263416e-01	1.313620491599747808e+00
7.901668334349680745e-01	6.164703407416098901e-01	8.435588831691651635e-01	1.312476616372580285e+00
7.851905594612297312e-01	6.110590113642214716e-01	8.522785774865794250e-01	1.314042635450988428e+00
7.921979776261340866e-01	6.029004239578705793e-01	8.431075025300037717e-01	1.325049467223522015e+00
7.902968685872702181e-01	6.167299607871051803e-01	8.376682656245318936e-01	1.317438479908115134e+00
8.096181317597653804e-01	6.073800695979557629e-01	8.448812908625328300e-01	1.302776455017165436e+00
8.067296766915288408e-01	6.259159318102471836e-01	8.289679150598613377e-01	1.307724880006867485e+00
7.996746916399024574e-01	6.254382892064744848e-01	8.548097214686550815e-01	1.292965145920154324e+00
8.214418603986162193e-01	6.090480481395803558e-01	8.408192695843386133e-01	1.310949423822385329e+00
8.433183622755527908e-01	6.343836725980597224e-01	8.225977950505088954e-01	1.292458190174421873e+00
8.618265408962263452e-01	6.469786699423506482e-01	8.374160017368901254e-01	1.262702099068477635e+00
8.574199144186004373e-01	6.584642764543655602e-01	8.424181843594312769e-01	1.273394407561758257e+00
8.306271302766462528e-01	6.636694228258808170e-01	8.671240149410344156e-01	1.288831490751535913e+00
8.556582244237502799e-01	6.342890639996289215e-01	8.696811454274988584e-01	1.310948741490359115e+00
8.502810674457240703e-01	6.686030573908212649e-01	8.477276296831630642e-01	1.321247663663363880e+00
8.641730837313637004e-01	6.630577551277677673e-01	8.821912149059880637e-01	1.296670096762085223e+00
8.753559369615940833e-01	6.673563137377341858e-01	8.637885733819434808e-01	1.323751496259977678e+00
8.707861688666552746e-01	6.884096646886345150e-01	8.796717139307710376e-01	1.311917748149459939e+00
8.782504697537480975e-01	6.781737474193252346e-01	8.945248842387192312e-01	1.323573593155550343e+00
8.955296005538432302e-01	6.857248537992852722e-01	8.819631972766512895e-01	1.335658268023407480e+00
9.014734675624549443e-01	7.057371918615413797e-01	8.918234250927575824e-01	1.323536508747888307e+00
8.708444802952457486e-01	7.143119098865963190e-01	9.185580959659831457e-01	1.341088084508257561e+00
8.793019602851589456e-01	6.872962209111530552e-01	9.304596219428052928e-01	1.368982917616266004e+00
9.172031021503510573e-01	6.961441264872127999e-01	9.000434575071780685e-01	1.374276516398313941e+00
9.066930677096485258e-01	7.377795849695267805e-01	9.141972035797449880e-01	1.348864658411361495e+00
8.998141769133269907e-01	7.200256162448765984e-01	9.500632644867571530e-01	1.360079247832422178e+00
8.905177140347655396e-01	7.191471986163933128e-01	9.388908886271676302e-01	1.401444543722245362e+00
9.413865226071400638e-01	7.123933309797890745e-01	9.339406980801268077e-01	1.382194770072011636e+00
9.529737829892309664e-01	7.531281933068696421e-01	9.170549641356727788e-01	1.369483151016317679e+00
9.505437934065948946e-01	7.607727454531829636e-01	9.540140339405576153e-01	1.350972285348285284e+00
9.195880285135611398e-01	7.601680535230398439e-01	9.660909940278660235e-01	1.392907488441950559e+00
9.294167055148727652e-01	7.403168506749128186e-01	9.758171627497328471e-01	1.411292040539031678e+00
9.184210723783572394e-01	7.580548524344963290e-01	9.661181099246758386e-01	1.428633053827929489e+00
