# Time	RLS_Output	RLS_Error
3.406813627254508536e-01	-7.640283232148182835e-01	-1.934245154603319028e-01
3.426853707414829198e-01	-7.921831667200892602e-01	-1.815297483713147475e-01
3.446893787575149859e-01	-7.116421725057284764e-01	-2.744726066290023025e-01
3.466933867735470520e-01	-7.675451092949142629e-01	-2.270641807167054216e-01
3.486973947895791182e-01	-8.203369429206572860e-01	-1.788258463930065822e-01
3.507014028056111843e-01	-8.209516358705551964e-01	-1.788055985141259185e-01
3.527054108216432504e-01	-8.275660327953169304e-01	-1.688242370171045836e-01
3.547094188376753165e-01	-8.688760431171468346e-01	-1.201991936444390952e-01
3.567134268537073827e-01	-9.136956370429116792e-01	-6.414548306826373114e-02
3.587174348697394488e-01	-9.211242704282265326e-01	-4.160816317740223536e-02
3.607214428857715149e-01	-9.727116670681105193e-01	2.890262359328188424e-02
3.627254509018035811e-01	-9.908176768962482228e-01	6.967174567439482491e-02
3.647294589178356472e-01	-1.024171070328186994e+00	1.293381738097859612e-01
3.667334669338677133e-01	-1.114451004225694764e+00	2.494768028405713878e-01
3.687374749498997795e-01	-1.068069036091854107e+00	2.363808790250958580e-01
3.707414829659318456e-01	-1.129985721977893931e+00	3.348790667388733544e-01
3.727454909819639117e-01	-1.102329579614678590e+00	3.469549342099079725e-01
3.747494989979959779e-01	-1.051944776895852529e+00	3.392952163456240955e-01
3.767535070140280440e-01	-1.029394967911863246e+00	3.622942745748793936e-01
3.787575150300601101e-01	-9.584534334009987555e-01	3.395449080994319413e-01
3.807615230460921762e-01	-9.225703291406610607e-01	3.543063174201225296e-01
3.827655310621242424e-01	-8.594492829474711382e-01	3.440814579727407008e-01
3.847695390781562530e-01	-8.151619965076650765e-01	3.547324370969499041e-01
3.867735470941883191e-01	-7.321983781980895278e-01	3.285314773479789396e-01
3.887775551102203853e-01	-6.403664491397041969e-01	2.950616851022195286e-01
3.907815631262524514e-01	-5.295784728097502336e-01	2.440040713651924209e-01
3.927855711422845175e-01	-4.097946813314506942e-01	1.850821943694660188e-01
3.947895791583165837e-01	-2.623364226834716817e-01	9.937624457401314504e-02
3.967935871743486498e-01	-7.845005369090127245e-02	-2.211210678910786875e-02
3.987975951903807159e-01	3.451305064698148573e-02	-7.227872885175382067e-02
4.008016032064127820e-01	1.346153628184393880e-01	-1.094349170983024977e-01
4.028056112224448482e-01	1.874899218955919933e-01	-9.946312653280864335e-02
4.048096192384769143e-01	3.037426457077813668e-01	-1.532182955737700358e-01
4.068136272545089804e-01	3.814002029490428103e-01	-1.689747314494950692e-01
4.088176352705410466e-01	4.507564164410631791e-01	-1.772715322251731118e-01
4.108216432865731127e-01	4.121671298039022435e-01	-7.870648160194226861e-02
4.128256513026051788e-01	4.224046503621385340e-01	-3.028953316654275918e-02
4.148296593186372450e-01	4.285938922353188518e-01	2.062198816103660848e-02
4.168336673346693111e-01	4.353472357429196693e-01	6.918944762053891306e-02
4.188376753507013772e-01	4.809607729386928265e-01	7.689755158125882728e-02
4.208416833667334433e-01	5.373822856812656701e-01	7.158723802953959048e-02
